date,vol
5-01,1310.182
5-02,1627.205
5-03,1982.487
5-04,4605.569
5-05,2917.111
5-06,2971.047
5-07,3710.714
5-08,4567.141
5-09,2627.216
5-10,4672.526
5-11,2283.307
5-12,4185.023
6-01,3938.463
6-02,2536.141
6-03,3208.725
6-04,5835.044
6-05,4486.459
6-06,4085.796
6-07,2326.248
6-08,3941.496
6-09,2245.135
6-10,3454.186
6-11,8426.86
6-12,6243.466
7-01,8819.742
7-02,4734.657
7-03,8353.85
7-04,12376.4
7-05,8355.363
7-06,11751.646
7-07,12587.706
7-08,10334.065
7-09,15158.348
7-10,9560.853
7-11,10644.84
7-12,13439.06
